,game_id,away_score,home_score,total,total_line,result,spread_line,ewma_dynamic_window_rushing_offense_home,ewma_dynamic_window_passing_offense_home,ewma_dynamic_window_rushing_defense_home,ewma_dynamic_window_passing_defense_home,ewma_dynamic_window_rushing_offense_away,ewma_dynamic_window_passing_offense_away,ewma_dynamic_window_rushing_defense_away,ewma_dynamic_window_passing_defense_away,home_spread_hit,over_hit,home_team_win,pred_total,pred_result,pred_hometeam_winner,spread_hit,over_under_hit
927,2004_06_MIN_NO,38,31,69,53.0,-7.0,-3.5,-0.3610104210589743,0.0502417463249543,0.0372828233530465,0.0564696034548325,-0.0703212730290315,0.3072828705807794,-0.0338450177146196,0.1084160949468747,0,0,0,49.97602568699978,-5.77821415663918,0,1,0
4674,2020_13_JAX_MIN,24,27,51,51.0,3.0,10.5,-0.0714324680169572,0.1640854706092554,-0.0487103494917036,0.0197634554860501,0.0047802269730665,-0.1000800851149796,-0.0275778228390627,0.2100554861294956,0,99,1,46.78334849430921,8.821508842613177,1,1,0
1150,2005_07_DET_CLE,13,10,23,36.0,-3.0,3.0,-0.2183137388013538,-0.1265831293897879,-0.0614177303222325,0.0496727083787597,-0.1209151905576868,-0.2682585672558095,-0.136543734732363,-0.0847521837643574,0,0,0,35.90290700905608,1.111388914477382,1,1,1
279,2001_07_JAX_BAL,17,18,35,33.0,1.0,7.5,-0.1370125414392134,-0.0589113919972127,-0.2948821077722875,-0.1181920158741416,-0.2067178713523885,0.0070118304485616,-0.1500034614042041,0.0360919143403341,0,0,1,38.86545261413255,5.199815988108165,1,1,1
4160,2018_13_ARI_GB,20,17,37,41.0,-3.0,13.5,0.0297146830419881,0.0279351901926241,-0.1158884885779192,0.1122783247390193,-0.1698273267183838,-0.3049683510912772,-0.0454723960821234,0.031545921096497,0,0,0,39.59997112983887,10.554540231851528,1,1,1
3577,2016_06_CAR_NO,38,41,79,53.5,3.0,-2.5,-0.081492477143936,0.1878829661473128,-0.0783664367178706,0.2517950151530554,-0.0432359857235093,0.0493121448667595,-0.1247300184140365,0.0250683440426391,1,0,1,47.491649315726725,0.9287135804195779,1,1,0
1984,2009_03_WAS_DET,14,19,33,39.5,5.0,-6.5,-0.0901863578403924,-0.230030030293079,-0.079867523060354,0.3371595422823741,-0.1223121058686814,-0.0526374482059237,-0.1003263759579652,0.00702083563604,1,0,1,40.622893057523875,-6.134829288161729,0,1,0
4982,2021_15_LV_CLE,16,14,30,41.0,-2.0,-3.0,-0.0151647994171884,0.0004523320922083,-0.021517455572313,-0.0038651902778588,-0.1605114343239171,0.0168900414544199,-0.051966786719462,0.2118248855621498,1,0,0,45.83591392357523,6.341997667446254,1,1,0
4294,2019_04_WAS_NYG,3,24,27,48.0,21.0,3.0,0.0948779278917671,0.0568662300667369,-0.0365990166489397,0.2423137650230366,-0.1953425155789602,-0.0584006140047,0.0002357009280098,0.1596476988539856,1,0,1,46.65697545210246,7.2820254203791634,1,1,1
1048,2004_16_BAL_PIT,7,20,27,34.0,13.0,5.0,-0.0685692907577205,0.1375476763111016,-0.16916569229521,-0.0782518154397592,-0.0874886803968531,-0.178303376752537,-0.2185150931020162,-0.1903975241501708,1,0,1,38.187045825141944,6.768756973742178,1,1,0
1469,2006_15_SF_SEA,24,14,38,38.0,-10.0,10.0,-0.0773569425296133,-0.0777185812473789,-0.0839310133417873,-0.0574672592921679,-0.0674653824469457,-0.1532996301838107,-0.0321592257547378,0.0841915429234007,0,99,0,40.659573677163735,5.497425806374691,1,1,0
473,2002_05_WAS_TEN,31,14,45,43.5,-17.0,3.5,-0.1378178084612391,0.1221360843698704,-0.1585275276078777,0.2207467262603903,-0.0931240664183319,-0.0878848396352303,-0.0014386380742229,-0.1145848570145371,0,0,0,42.94658127907733,2.80725994572296,1,1,0
33,2000_03_NO_SEA,10,20,30,40.0,10.0,6.0,-0.202256983752822,-0.1217590120575278,-0.0558821286882549,0.0679099474097519,-0.2136459217359154,-0.1507339583274798,-0.0876407322652493,-0.0721962057435288,1,0,1,37.9779727866233,1.0342669516164409,1,0,1
1593,2007_07_TB_DET,16,23,39,44.5,7.0,2.5,-0.2256837035302212,-0.1197124340114556,-0.1089313805329683,0.1481110365171057,-0.1956416722259281,0.0641150042673775,-0.1136500087319888,0.0686997554658073,1,0,1,42.20359463679858,-2.7674095932521534,0,0,1
2749,2012_11_BAL_PIT,13,10,23,41.0,-3.0,-3.0,-0.0765373788201788,0.1028215539857698,-0.0477666080389826,-0.0730831082829075,0.0114737100622848,0.1015060055229981,-0.0630137119617566,0.0427824652602761,99,0,0,46.82097569967009,2.4627232772787733,1,0,0
2537,2011_12_BUF_NYJ,24,28,52,42.5,4.0,9.5,-0.0781946108529847,-0.0693966264371092,-0.1591939623093692,-0.0976913032061074,-0.0981638607645033,-0.1155986518847019,-0.0536185333587682,0.1618552027956759,0,0,1,40.84129217959046,7.338402278034872,1,1,0
